Citations,References,Vol_FP,Country,Site,Experiment,Latitude,Longitude,Elevation(m),MAT(°C),MAP(mm),Wetness,Ecosystem,Community,Exp Type,Exp GCDFs,Treatment,eCO2F,eCO2+(ppm),eN dose,Variable,Unit,SamplingY,C_M,C_SE,C_SD,C_N,T_M,T_SE,T_SD,T_N
Berendse et al. 2001,"Berendse, F. et al. Raised atmospheric CO2 levels and increased N deposition cause shifts in plant species composition and production in Sphagnum bogs. Global Change Biol. 7, 591-598 (2001).",7-591,Finland,"Salmisuo, Ilomantsi, eastern Finland",,62.783°N,30.933°E,145,3,650,50,Wetland,,Single factor,eCO2,eCO2,FACE,200,,litter mass,g m-2,,40.73,3.95,8.84,5,39.82,5.17,11.55,5
Finzi et al. 2001,"Finzi, A. C. et al. Forest litter production, chemistry and decomposition following two year of free-air CO2 enrichment. Ecology 82, 470-484 (2001).",82-470,USA,Duke Forest ,DUKE FACE_Nlow_ECM,35.867°N,79.996°W,163,15.5,1140,44.71,Forest,,Single factor,eCO2,eCO2,FACE,200,,litter mass,g m-2,1997,509.3,11.3,19.57,3,552.6,11.3,19.57,3
Finzi et al. 2001,"Finzi, A. C. et al. Forest litter production, chemistry and decomposition following two year of free-air CO2 enrichment. Ecology 82, 470-484 (2001).",82-470,USA,Duke Forest ,DUKE FACE_Nlow_ECM,35.867°N,79.996°W,163,15.5,1140,44.71,Forest,,Single factor,eCO2,eCO2,FACE,200,,litter mass,g m-2,1998,597,23.6,40.88,3,754.6,23.6,40.88,3
 Hungate et al. 2006,"Hungate, B. A. et al. Nitrogen cycling during seven years of atmospheric CO2 enrichment in a scrub oak woodland. Ecology 87, 26-40 (2006).",87-26,USA,Kennedy Space Center,Merritt Island_Nlow_ECM,28.633°N,80.7°W,1,21.7,1329,41.92,Forest,,Single factor,eCO2,eCO2,OTC,350,,litter mass,g m-2,1997,83.4,4.51,12.75,8,110.49,2.94,8.31,8
 Hungate et al. 2006,"Hungate, B. A. et al. Nitrogen cycling during seven years of atmospheric CO2 enrichment in a scrub oak woodland. Ecology 87, 26-40 (2006).",87-26,USA,Kennedy Space Center,Merritt Island_Nlow_ECM,28.633°N,80.7°W,1,21.7,1329,41.92,Forest,,Single factor,eCO2,eCO2,OTC,350,,litter mass,g m-2,1998,217.41,23.52,66.53,8,295.13,34.22,96.78,8
 Hungate et al. 2006,"Hungate, B. A. et al. Nitrogen cycling during seven years of atmospheric CO2 enrichment in a scrub oak woodland. Ecology 87, 26-40 (2006).",87-26,USA,Kennedy Space Center,Merritt Island_Nlow_ECM,28.633°N,80.7°W,1,21.7,1329,41.92,Forest,,Single factor,eCO2,eCO2,OTC,350,,litter mass,g m-2,1999,148.98,24.24,68.55,8,194.61,24.95,70.57,8
 Hungate et al. 2006,"Hungate, B. A. et al. Nitrogen cycling during seven years of atmospheric CO2 enrichment in a scrub oak woodland. Ecology 87, 26-40 (2006).",87-26,USA,Kennedy Space Center,Merritt Island_Nlow_ECM,28.633°N,80.7°W,1,21.7,1329,41.92,Forest,,Single factor,eCO2,eCO2,OTC,350,,litter mass,g m-2,2000,156.11,17.82,50.4,8,233.1,29.94,84.68,8
 Hungate et al. 2006,"Hungate, B. A. et al. Nitrogen cycling during seven years of atmospheric CO2 enrichment in a scrub oak woodland. Ecology 87, 26-40 (2006).",87-26,USA,Kennedy Space Center,Merritt Island_Nlow_ECM,28.633°N,80.7°W,1,21.7,1329,41.92,Forest,,Single factor,eCO2,eCO2,OTC,350,,litter mass,g m-2,2001,228.11,32.79,92.74,8,289.42,34.93,98.79,8
 Hungate et al. 2006,"Hungate, B. A. et al. Nitrogen cycling during seven years of atmospheric CO2 enrichment in a scrub oak woodland. Ecology 87, 26-40 (2006).",87-26,USA,Kennedy Space Center,Merritt Island_Nlow_ECM,28.633°N,80.7°W,1,21.7,1329,41.92,Forest,,Single factor,eCO2,eCO2,OTC,350,,litter mass,g m-2,2002,223.83,22.81,64.52,8,263.75,42.06,118.96,8
Heijmans et al. 2001,"Heijmans, M. M. P. D., Berendse, F., Arp, W. J., Masselink, A. K., Klees, H., de Visser, W. & van Breemen, N. Effects of elevated carbon dioxide and increased nitrogen deposition on bog vegetation in the Netherlands. J. Ecol. 89, 268-279 (2001).",89-268,The Netherlands,"State Forest of  Dwingeloo, the Netherlands",,52.817°N,6.433°E,13,8.8,782,41.6,Wetland,,Single factor,eCO2,eCO2,FACE,200,,litter mass,g m-2,1998,42,16,35.78,5,44,9,20.12,5
Weatherly et al. 2003,"Weatherly, H. E., Zitzer, S. F., Coleman, J. S. & Arnone III, J. A. In situ litter decomposition and litter quality in a Mojave Desert ecosystem: Effects of elevated atmospheric CO2 and interannual climate variability. Global Change Biol. 9, 1223-1233 (2003).",9-1223,USA,Mojave Desert,Nevada Desert FACE_Nlow_AM,36.817ºN,115.917ºW,970,16.7,131,4.91,Desert,,Single factor,eCO2,eCO2,FACE,183,,litter mass,g m-2,1998,25,1.11,1.92,3,34.82,1.3,2.25,3
Weatherly et al. 2003,"Weatherly, H. E., Zitzer, S. F., Coleman, J. S. & Arnone III, J. A. In situ litter decomposition and litter quality in a Mojave Desert ecosystem: Effects of elevated atmospheric CO2 and interannual climate variability. Global Change Biol. 9, 1223-1233 (2003).",9-1223,USA,Mojave Desert,Nevada Desert FACE_Nlow_AM,36.817ºN,115.917ºW,970,16.7,131,4.91,Desert,,Single factor,eCO2,eCO2,FACE,183,,litter mass,g m-2,1999,11.67,1.85,3.21,3,13.33,3.52,6.1,3
Ferguson & Nowak 2011,"Ferguson, S.D. and Nowak, R.S. (2011), Transitory effects of elevated atmospheric CO2 on fine root dynamics in an arid ecosystem do not increase long‐term soil carbon input from fine root litter. New Phytologist, 190: 953-967. doi:10.1111/j.1469-8137.2011.03654.x",9-1223,USA,Mojave Desert,Nevada Desert FACE_Nlow_AM,36.817ºN,115.917ºW,970,16.7,131,4.91,Desert,,Single factor,eCO2,eCO2,FACE,183,,fine-root litter production,g m-2,2003,74.741,11.756,,3,89.395,25.158,,3
Ferguson & Nowak 2011,"Ferguson, S.D. and Nowak, R.S. (2011), Transitory effects of elevated atmospheric CO2 on fine root dynamics in an arid ecosystem do not increase long‐term soil carbon input from fine root litter. New Phytologist, 190: 953-967. doi:10.1111/j.1469-8137.2011.03654.x",9-1223,USA,Mojave Desert,Nevada Desert FACE_Nlow_AM,36.817ºN,115.917ºW,970,16.7,131,4.91,Desert,,Single factor,eCO2,eCO2,FACE,183,,fine-root litter production,g m-2,2004,28.298,10.605,,3,24.717,5.691,,3
Ferguson & Nowak 2011,"Ferguson, S.D. and Nowak, R.S. (2011), Transitory effects of elevated atmospheric CO2 on fine root dynamics in an arid ecosystem do not increase long‐term soil carbon input from fine root litter. New Phytologist, 190: 953-967. doi:10.1111/j.1469-8137.2011.03654.x",9-1223,USA,Mojave Desert,Nevada Desert FACE_Nlow_AM,36.817ºN,115.917ºW,970,16.7,131,4.91,Desert,,Single factor,eCO2,eCO2,FACE,183,,fine-root litter production,g m-2,2005,108.742,3.613,,3,95.308,18.59,,3
Ferguson & Nowak 2011,"Ferguson, S.D. and Nowak, R.S. (2011), Transitory effects of elevated atmospheric CO2 on fine root dynamics in an arid ecosystem do not increase long‐term soil carbon input from fine root litter. New Phytologist, 190: 953-967. doi:10.1111/j.1469-8137.2011.03654.x",9-1223,USA,Mojave Desert,Nevada Desert FACE_Nlow_AM,36.817ºN,115.917ºW,970,16.7,131,4.91,Desert,,Single factor,eCO2,eCO2,FACE,183,,fine-root litter production,g m-2,2006,9.452,3.349,,3,9.577,1.131,,3
Ferguson & Nowak 2011,"Ferguson, S.D. and Nowak, R.S. (2011), Transitory effects of elevated atmospheric CO2 on fine root dynamics in an arid ecosystem do not increase long‐term soil carbon input from fine root litter. New Phytologist, 190: 953-967. doi:10.1111/j.1469-8137.2011.03654.x",9-1223,USA,Mojave Desert,Nevada Desert FACE_Nlow_AM,36.817ºN,115.917ºW,970,16.7,131,4.91,Desert,,Single factor,eCO2,eCO2,FACE,183,,fine-root litter production,g m-2,2007,2.453,0.953,,3,2.439,1.199,,3
Natalie et al. 2008,"Natali, S. M., Sañudo-Wilhelmy, S. A., Norby, R. J., Zhang, H., Finzi, A. C., & Lerdau, M. T. (2008). Increased mercury in forest soils under elevated carbon dioxide. Oecologia, 158(2), 343-354.",,USA,ORNL FACE,ORNL FACE_Nlow_AM,,,,,,,Forest,,Single factor,eCO2,eCO2,FACE,,,litterfall,g/m2/yr,8,497.6,16,,3,554.7,15.5,,2
Natalie et al. 2008,"Natali, S. M., Sañudo-Wilhelmy, S. A., Norby, R. J., Zhang, H., Finzi, A. C., & Lerdau, M. T. (2008). Increased mercury in forest soils under elevated carbon dioxide. Oecologia, 158(2), 343-354.",,USA,ORNL FACE,ORNL FACE_Nlow_AM,,,,,,,Forest,,Single factor,eCO2,eCO2,FACE,,,litterfall,g/m2/yr,10,447.7,4.2,,3,479.4,0.6,,2
